cell_id	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
cell_402	3	2	2	-	-	13	7	3	2	3	-	-
cell_403	-	2	2	0	2	13	7	3	0	3	5	3
cell_404	3	2	-	3	2	13	7	3	0	3	5	3
cell_405	0	2	2	0	2	13	7	3	0	3	5	3
cell_406	0	2	2	0	2	13	-	3	-	3	5	3
cell_407	0	2	2	5	2	-	-	3	0	-	5	3
cell_408	3	2	2	-	2	-	7	3	0	3	5	3
cell_409	-	2	0	3	2	13	7	3	0	3	5	-
cell_410	2	2	-	-	2	13	7	3	0	3	5	3
cell_411	-	2	2	3	2	13	7	3	2	3	5	3
cell_412	-	2	2	3	2	13	7	3	0	-	5	3
cell_413	-	2	-	3	2	13	7	-	-	3	5	3
cell_414	-	2	0	3	2	13	7	3	2	3	5	3
cell_415	2	2	0	3	2	-	7	3	0	3	5	-
cell_416	2	2	0	3	2	13	7	3	2	3	-	3
cell_417	2	2	2	0	2	13	7	3	-	3	5	3
cell_418	2	2	-	0	2	-	7	3	2	3	5	-
cell_419	-	-	2	2	2	13	7	3	2	3	5	3
cell_420	2	2	2	-	-	13	7	-	2	3	5	3
cell_421	-	2	-	0	2	13	7	3	0	3	5	3
cell_422	2	2	2	0	2	-	-	3	2	3	5	-
cell_423	2	2	2	0	-	13	7	3	0	3	5	3
cell_424	-	2	2	0	2	13	7	3	0	3	5	3
cell_425	-	-	2	3	2	13	7	3	0	3	5	3
cell_426	2	-	2	3	2	13	7	3	0	3	5	-
cell_427	-	2	2	3	2	-	7	3	21	3	5	3
cell_428	2	2	2	3	2	13	7	3	0	3	5	3
cell_429	2	2	2	3	2	13	7	3	0	3	5	3
cell_430	2	2	2	3	2	13	7	3	0	3	5	3
cell_431	2	2	2	3	2	13	7	3	2	3	5	3
cell_432	2	2	2	3	2	13	7	-	-	3	5	3
cell_433	2	2	0	3	-	13	7	3	0	3	5	3
cell_434	2	2	0	2	-	13	7	3	-	3	-	3
cell_435	2	2	5	0	2	-	7	3	-	3	5	3
cell_436	2	2	5	0	2	13	-	3	0	3	5	3
cell_437	2	2	-	-	-	13	7	3	0	3	5	3
cell_438	2	2	0	0	-	13	7	3	3	3	5	3
cell_439	2	-	-	0	2	13	7	3	0	3	-	3
cell_440	2	2	0	0	2	13	7	3	0	3	5	-
cell_441	2	2	4	-	2	13	-	-	2	3	-	-
cell_442	2	2	4	5	2	13	-	-	2	-	5	3
cell_443	-	2	4	5	-	13	7	3	0	3	5	3
cell_444	2	2	4	5	2	13	7	3	0	3	5	3
cell_445	2	2	-	5	2	13	7	3	0	-	5	3
